á	aː
chathaoir	x a h iː ɾʲ
cheacht	ç a ɾˠ t̪ˠ
chéad	ˈ ç eː d̪ˠ
cheannaigh	ç a n̻ˠ iː
cheann	ˈ ç i n̻ˠ
cheart	ˈ ç a ɾˠ t̪ˠ
cheathrar	ç a h ɾˠ ə ɾˠ
cheile	ç e lʲ ə
chéile	ˈ ç e lʲ ə
cheist	ˈ ç e ʃ tʲ
cheithre	ˈ x e ɾʲ ə
chiall	ˈ ç ia l̻ˠ
chiallmhar	ç ia l̻ˠ vˠ ə ɾˠ
chíosa	ç iː sˠ ə
chíos	ç iː sˠ
chirte	ç i ɾˠ tʲ ə
chíste	ç iː ʃ tʲ ə
chlaí	ˈ x l̻ˠ iː
chlampar	x l̻ˠ a mˠ pˠ ə ɾˠ
chlann	x l̻ˠ a n̻ˠ
chleamhnas	ç lʲ au n̻ˠ ə sˠ
chliabháin	ç lʲ ia vˠ a nʲ
chloch	x l̻ˠ o h
chlós	x l̻ˠ oː sˠ
chluas	x l̻ˠ ua sˠ
chnapóigín	x n̻ˠ a pˠ oː ɟ iː nʲ
chneasta	ç nʲ a sˠ t̪ˠ ə
chnoc	x n̻ˠ o k
chnoic	x n̻ˠ o c
chogadh	x o ɡ uː
choimeádaidís	x o mʲ aː d̪ˠ ə dʲ iː ʃ
choimeádfadh	x o mʲ aː t̪ˠ uː
choimeád	x o mʲ a d̪ˠ
choínleach	x iː nʲ lʲ a h
choinne	ˈ x o n̻ʲ ə
choir	x o ɾʲ
chóir	ˈ x oː ɾʲ
chois	ˈ x o ʃ
cholainn	ˈ x o l̻ˠ ə n̻ʲ
choláiste	x a l̻ˠ aː ʃ tʲ ə
chómnuighe	x oː mˠ n̻ˠ ə j ə
chomparáid	x o mˠ pˠ ə ɾˠ a dʲ
chonaic	ˈ x o n̻ˠ ə c
chorcáinín	x a ɾˠ k aː nʲ iː nʲ
chorp	ˈ x a ɾˠ pˠ
chor	ˈ x a ɾˠ
chosaint	x a sˠ ə nʲ tʲ
chosain	x a sˠ ə nʲ
chosa	ˈ x o sˠ ə
chosc	x a sˠ k
chos	x a sˠ
chreachadh	ç ɾʲ a h uː
chreach	ˈ ç ɾʲ a h
chreidimh	ç ɾʲ e dʲ i vʲ
chrích	ˈ ç ɾʲ iː h
chrith	ç ɾʲ i hʲ
chrochadh	x ɾˠ o h uː
chroch	ˈ x ɾˠ o h
chrom	x ɾˠ o mˠ
chró	ˈ x ɾˠ oː
