á	aː
tathag	ˈ t̪ˠ a h ə ɡ
táthaigh	ˈ t̪ˠ aː h iː
tAthair	ˈ t̪ˠ a h ə ɾʲ
t-athrú	ˈ t̪ˠ a h ɾˠ uː
tAtlantach	ˈ t̪ˠ a t̪ˠ l̻ˠ ə n̻ˠ t̪ˠ ə h
te	ˈ tʲ e
té	ˈ tʲ eː
teach	ˈ tʲ a h
Teach	ˈ tʲ a h
teachín	ˈ tʲ a h i nʲ
teacht	ˈ tʲ a x t̪ˠ
téacht	ˈ tʲ eː ɾˠ t̪ˠ
teachta	ˈ tʲ a ɾˠ t̪ˠ ə
teachtaire	ˈ tʲ a ɾˠ t̪ˠ ə ɾʲ ə
teachtaireacht	ˈ tʲ a ɾˠ t̪ˠ ə ɾʲ a x t̪ˠ
téacs	ˈ tʲ eː k sˠ
téacsáil	ˈ tʲ eː k ˈ sˠ aː lʲ
téacsleabhar	ˈ tʲ eː k sˠ ˈ l̻ʲ oː ə ɾˠ
téad	ˈ tʲ eː d̪ˠ
téadach	ˈ tʲ eː d̪ˠ a h
téadán	ˈ tʲ eː d̪ˠ a n̻ˠ
téadléimneach	ˈ tʲ eː dʲ lʲ e mʲ nʲ a h
téaduirlisí	ˈ tʲ eː d̪ˠ ə ɾʲ lʲ ə ʃ iː
teagaisc	ˈ tʲ a ɡ ə ʃ c
téagar	ˈ tʲ eː ɡ ə ɾˠ
téagartha	ˈ tʲ eː ɡ ə ɾˠ h ə
teagasc	ˈ tʲ a ɡ ə sˠ k
teagascóir	ˈ tʲ a ɡ ə sˠ k o ɾʲ
teaghlach	ˈ tʲ eː l̻ˠ a h
teaghlaigh	ˈ tʲ a ɣ l̻ˠ iː
teaghrán	ˈ tʲ eː ɾˠ a n̻ˠ
teaglaim	ˈ tʲ a ɡ l̻ˠ ə mʲ
teaglama	ˈ tʲ a ɡ l̻ˠ ə mˠ ə
teagmhaigh	ˈ tʲ a ɡ vˠ iː
teagmháil	ˈ tʲ a ɡ vˠ a lʲ
teagmhála	ˈ tʲ a ɡ vˠ aː l̻ˠ ə
teagmhálaí	ˈ tʲ a ɡ vˠ a l̻ˠ iː
teagmhas	ˈ tʲ a ɡ vˠ ə sˠ
Téalainn	ˈ tʲ eː l̻ˠ ə n̻ʲ
Téalainnis	ˈ tʲ eː l̻ˠ ə n̻ʲ ə ʃ
Téalainnise	ˈ tʲ eː l̻ˠ ə n̻ʲ ə ʃ ə
Téalannach	ˈ tʲ eː l̻ˠ ə n̻ˠ ə h
téama	ˈ tʲ eː mˠ ə
téamh	ˈ tʲ eː au
teampall	ˈ tʲ a mˠ pˠ ə l̻ˠ
teanga	ˈ tʲ a ŋ ə
teangaigh	ˈ tʲ a ŋ iː
teangeolaí	
teangeolaíoch	
teangeolaíocht	ˈ tʲ a ŋ o l̻ˠ iː a x t̪ˠ
teangeolaíochta	
teann	ˈ tʲ a n̻ˠ
teannadh	ˈ tʲ a n̻ˠ uː
teannaire	ˈ tʲ a n̻ˠ ə ɾʲ ə
teannas	ˈ tʲ a n̻ˠ ə sˠ
teannta	ˈ tʲ a n̻ˠ t̪ˠ ə
teanntaigh	ˈ tʲ a n̻ˠ t̪ˠ iː
teanntásach	ˈ tʲ a n̻ˠ t̪ˠ a sˠ a h
tearc	ˈ tʲ a ɾˠ k
tearcbhruite	ˈ tʲ a ɾˠ k vˠ ɾˠ ə tʲ ə
téarma	ˈ tʲ eː ɾˠ mˠ ə
téarmach	ˈ tʲ eː ɾˠ mˠ a h
téarmaí	ˈ tʲ eː ɾˠ mˠ iː
tearmann	ˈ tʲ a ɾˠ ə mˠ ə n̻ˠ
téarnaigh	ˈ tʲ eː ɾˠ n̻ˠ iː
téarnamh	ˈ tʲ eː ɾˠ n̻ˠ uː
teas	ˈ tʲ a sˠ
teasa	ˈ tʲ a sˠ ə
teasaí	ˈ tʲ a sˠ iː
Teasalónaigh	
teascóg	ˈ tʲ a sˠ k o ɡ
teaspach	ˈ tʲ a sˠ pˠ a h
teastas	ˈ tʲ a sˠ t̪ˠ ə sˠ
teastasú	ˈ tʲ a sˠ t̪ˠ ə sˠ uː
téatar	ˈ tʲ eː t̪ˠ ə ɾˠ
Téaváin	ˈ tʲ eː vʲ aː nʲ
Téavánach	ˈ tʲ eː vʲ aː n̻ˠ ə h
téic	ˈ tʲ eː c
teicneolaíocht	ˈ tʲ e c nʲ o l̻ˠ iː a x t̪ˠ
teicneolaíochta	
teicníc	ˈ tʲ e c ɾʲ i c
teideal	ˈ tʲ e dʲ ə l̻ˠ
teidealrian	ˈ tʲ e dʲ ə lʲ ɾʲ iˑə n̻ˠ
teidí	ˈ tʲ e dʲ iː
teidil	ˈ tʲ e dʲ ə lʲ
teifeach	ˈ tʲ e fʲ a h
téigh	ˈ tʲ eː j
teile	ˈ tʲ e lʲ ə
teileachumarsáid	ˈ tʲ e lʲ ə ˈ x u mˠ ə ɾˠ sˠ a dʲ
teileafóin	ˈ tʲ e lʲ ə ˈ fˠ oː nʲ
teileafón	ˈ tʲ e lʲ ə fˠ o n̻ˠ
teileagram	ˈ tʲ e lʲ ə ɡ ɾˠ a mˠ
teileascóp	ˈ tʲ e lʲ ə sˠ k o pˠ
teilg	ˈ tʲ e lʲ ə ɟ
teilgean	ˈ tʲ e lʲ ə ɟ ə n̻ˠ
teilgeoir	ˈ tʲ e lʲ ə ɟ o ɾʲ
teilifís	ˈ tʲ e lʲ ə fʲ i ʃ
teilifíse	ˈ tʲ e lʲ ə fʲ iː ʃ ə
téip	ˈ tʲ eː pʲ
teip	ˈ tʲ e pʲ
téipeáil	ˈ tʲ eː pʲ aː lʲ
téipeáilte	ˈ tʲ eː pʲ aː lʲ tʲ ə
teirminéal	ˈ tʲ e ɾʲ ə mʲ ə nʲ e l̻ˠ
téisiúil	ˈ tʲ eː ʃ u lʲ
teist	ˈ tʲ e ʃ tʲ
teiste	ˈ tʲ e ʃ tʲ ə
teistiméireacht	ˈ tʲ e ʃ tʲ ə mʲ e ɾʲ a x t̪ˠ
téite	ˈ tʲ eː tʲ ə
teith	ˈ tʲ ai hʲ
teitheadh	ˈ tʲ ai hʲ uː
teobhlaiste	ˈ tʲ oː ˈ vˠ l̻ˠ a ʃ tʲ ə
teobhlaistigh	ˈ tʲ oː ˈ vˠ l̻ˠ a ʃ tʲ iː
teochriosach	ˈ tʲ oː ˈ ç ɾʲ i sˠ ə h
teocht	ˈ tʲ oː ɾˠ t̪ˠ
teochta	ˈ tʲ oː ˈ ɾˠ t̪ˠ a
teoiric	ˈ tʲ oː ɾʲ ə c
teolaí	ˈ t̪ˠ oː l̻ˠ iː
teorainn	ˈ tʲ oː ɾˠ ə n̻ʲ
teorannaigh	ˈ tʲ oː ɾˠ ə n̻ˠ iː
teoranta	ˈ tʲ oː ɾˠ ə n̻ˠ t̪ˠ ə
thabhairt	ˈ h oː ɾʲ tʲ
thábla	ˈ h aː bˠ l̻ˠ ə
thairis	ˈ h a ɾʲ ə ʃ
thalamh	ˈ h a l̻ˠ uː
thall	ˈ h a l̻ˠ
thalmhaithe	ˈ h a l̻ˠ ə vˠ ə h ə
thaobh	ˈ h iː vˠ
thaobhach	ˈ h iː vˠ a h
thar	ˈ h a ɾˠ
tharam	ˈ h a ɾˠ ə mˠ
tharla	ˈ h a ɾˠ l̻ˠ ə
thart	ˈ h a ɾˠ t̪ˠ
theagmhála	ˈ h a ɡ vˠ aː l̻ˠ ə
theannta	ˈ h a n̻ˠ t̪ˠ ə
Theas	ˈ hʲ a sˠ
theileafóin	ˈ h e lʲ ə ˈ fˠ oː nʲ
theoranta	ˈ h oː ɾˠ ə n̻ˠ t̪ˠ ə
thí	ˈ h iː
thiar	ˈ hʲ ia ɾˠ
thiarcais	ˈ h ia ɾˠ k ə ʃ
thine	ˈ h i nʲ iː
thionsclaíoch	ˈ h i n̻ˠ sˠ k l̻ˠ i a h
thíos	ˈ hʲ iː sˠ
thógála	ˈ h oː ɡ aː l̻ˠ ə
thoil	ˈ h o lʲ
thoinn	ˈ h o n̻ʲ
Thoir	ˈ h o ɾʲ
thomhais	ˈ h oː ʃ
thoradh	ˈ h a ɾˠ uː
thosach	ˈ h a sˠ a h
thosaigh	ˈ h a sˠ iː
thrádála	ˈ ɾ̥ˠ aː d̪ˠ aː l̻ˠ ə
threisithe	ˈ ɾ̥ʲ e ʃ ə h ə
thú	ˈ h uː
thuaidh	ˈ h ua j
Thuaidh	ˈ h ua j
thuas	ˈ h ua sˠ
thuathail	ˈ h ua h a lʲ
thuilleadh	ˈ h i l̻ʲ uː
thusa	ˈ h u sˠ ə
tí	ˈ t̪ˠ iː
tiarnúil	ˈ tʲ ia ɾˠ n̻ˠ u lʲ
tIarthar	ˈ tʲ iˑə ɾˠ h ə ɾˠ
Tibéadach	ˈ tʲ i bʲ eː d̪ˠ ə h
Tibéid	ˈ tʲ i bʲ eː dʲ
tic	ˈ tʲ i c
ticbhosca	ˈ tʲ i k vˠ ə sˠ k ə
ticéad	ˈ tʲ i c e d̪ˠ
ticéadú	ˈ tʲ i c eː d̪ˠ uː
ticeáil	ˈ tʲ i c a lʲ
ticéid	ˈ tʲ i c eː dʲ
t-idirlíon	ˈ tʲ i dʲ ə ɾʲ ˈ l̻ʲ iː n̻ˠ
timireacht	ˈ tʲ i mʲ ə ɾʲ a x t̪ˠ
timpeall	ˈ tʲ i mʲ pʲ ə l̻ˠ
timpeallacht	ˈ tʲ i mʲ pʲ ə l̻ˠ a x t̪ˠ
timpeallachta	ˈ tʲ i mʲ pʲ ə l̻ˠ ə ɾˠ t̪ˠ ə
timpeallaigh	ˈ tʲ i mʲ pʲ ə l̻ˠ iː
timpiste	ˈ tʲ i mʲ pʲ ə ʃ tʲ ə
timthriall	ˈ tʲ i mʲ ɾ̥ʲ iˑə l̻ˠ
tine	ˈ tʲ i nʲ iː
tinn	ˈ tʲ i n̻ʲ
tinneas	ˈ tʲ i n̻ʲ ə sˠ
tinreamh	ˈ tʲ i nʲ ɾʲ uː
Tiobraid	ˈ tʲ i bˠ ɾˠ ə dʲ
tíogar	ˈ tʲ iː ɡ ə ɾˠ
tíograch	ˈ tʲ iː ɡ ɾˠ ə h
tíolacadh	ˈ tʲ iː l̻ˠ ə k uː
tiomáin	ˈ tʲ o mˠ a nʲ
tiomáint	ˈ tʲ o mˠ a n̻ʲ tʲ
tiomána	ˈ tʲ i mˠ aː n̻ˠ ə
tiománaí	ˈ tʲ o mˠ a n̻ˠ iː
tiomanta	ˈ tʲ o mˠ ə n̻ˠ t̪ˠ ə
tiomántán	ˈ tʲ u ˈ mˠ aː n̻ˠ t̪ˠ aː n̻ˠ
tiomantas	ˈ tʲ u ˈ mˠ a n̻ˠ ˈ t̪ˠ a sˠ
tiomántóir	ˈ tʲ u mˠ 
tiomna	ˈ tʲ o mˠ n̻ˠ ə
tiomnaigh	ˈ tʲ o mˠ n̻ˠ iː
Tíomór	
tiompán	ˈ tʲ o mˠ pˠ a n̻ˠ
tiomsaigh	ˈ tʲ o mˠ sˠ iː
tiomsú	ˈ tʲ o mˠ sˠ uː
tionchar	ˈ tʲ o n̻ˠ ə h ə ɾˠ
tionlacain	ˈ tʲ i n̻ˠ l̻ˠ ə k ə nʲ
tionlacan	ˈ tʲ o n̻ˠ l̻ˠ ə k ə n̻ˠ
tionlactha	ˈ tʲ i n̻ˠ l̻ˠ ə k h ə
tionlaic	ˈ tʲ i n̻ˠ l̻ˠ ə c
tionóil	ˈ tʲ i n̻ˠ o lʲ
tionóisc	ˈ tʲ i n̻ˠ o ʃ c
tionól	ˈ tʲ i n̻ˠ o l̻ˠ
tionónta	ˈ tʲ i n̻ˠ o n̻ˠ t̪ˠ ə
tionscadal	ˈ tʲ i n̻ˠ sˠ k ə d̪ˠ ə l̻ˠ
tionscail	ˈ tʲ i n̻ˠ sˠ k ə lʲ
tionscain	ˈ tʲ i n̻ˠ sˠ k ə nʲ
tionscal	ˈ tʲ i n̻ˠ sˠ k ə l̻ˠ
tionsclaigh	ˈ tʲ i n̻ˠ sˠ k l̻ˠ iː
tionsclaíoch	ˈ tʲ i n̻ˠ sˠ k l̻ˠ i a h
tionsclaíochta	ˈ tʲ i n̻ˠ sˠ k l̻ˠ iˑə ɾˠ t̪ˠ ə
tionscnaíocht	ˈ tʲ i n̻ˠ sˠ k nˠ iˑə ɾˠ t̪ˠ
tionscnamh	ˈ tʲ i n̻ˠ sˠ k ɾˠ uː
tionscnóir	ˈ tʲ i n̻ˠ sˠ k ɾˠ o ɾʲ
tiontaigh	ˈ tʲ o n̻ˠ t̪ˠ iː
tíopáil	ˈ tʲ iː pˠ aː lʲ
Tiorólach	
tíos	ˈ tʲ iː sˠ
tíosach	ˈ tʲ iː sˠ a h
tipiciúil	ˈ tʲ i pʲ ə c u lʲ
tír	ˈ tʲ iː ɾʲ
Tír	ˈ tʲ iː ɾʲ
tírdhreach	ˈ tʲ iː ɾʲ j ɾʲ a h
tírdhreachtaigh	ˈ tʲ iː ɾˠ dʲ h ɾʲ ə ɾˠ t̪ˠ iː
tírdhreachtaithe	ˈ tʲ iː ɾˠ dʲ h ɾʲ ə ɾˠ t̪ˠ ə h ə
tírdhreachtú	ˈ tʲ iː ɾˠ dʲ h ɾʲ ə ɾˠ t̪ˠ uː
tíre	ˈ tʲ iː ɾʲ ə
tíreolaíocht	ˈ tʲ iː ɾʲ o l̻ˠ iː a x t̪ˠ
tírghné	ˈ tʲ iː ɾʲ ɟ h nʲ eː
tirim	ˈ tʲ i ɾʲ ə mʲ
tíriúil	ˈ tʲ iː ɾʲ u lʲ
tit	ˈ tʲ i tʲ
tite	ˈ tʲ i tʲ ə
tithíochta	ˈ tʲ i h iˑə ɾˠ t̪ˠ ə
titim	ˈ tʲ i tʲ ə mʲ
Titim	ˈ tʲ i tʲ ə mʲ
titimeach	ˈ tʲ i tʲ ə mʲ ə h
titimeas	ˈ tʲ i tʲ ə mʲ ə sˠ
tiubh	ˈ tʲ u au
tiubhaigh	ˈ tʲ u vˠ iː
tiúchán	ˈ tʲ uː h aː n̻ˠ
tiúchan	ˈ tʲ uː h ə n̻ˠ
tiúin	ˈ tʲ uː nʲ
tiús	ˈ tʲ uː sˠ
tláith	ˈ t̪ˠ l̻ˠ aː
t-léine	ˈ tʲ lʲ eː nʲ ə
tobac	t̪ˠ ə ˈ bˠ a k
Tobága	ˈ t̪ˠ o bˠ aː ɡ ə
tobán	ˈ t̪ˠ o bˠ a n̻ˠ
tobann	ˈ t̪ˠ o bˠ ə n̻ˠ
tobar	ˈ t̪ˠ o bˠ ə ɾˠ
tobchlis	ˈ t̪ˠ o bʲ ç lʲ ə ʃ
tobchliseadh	ˈ t̪ˠ o bʲ ç lʲ ə ʃ uː
Tocárach	ˈ t̪ˠ o k aː ɾˠ ə h
tochail	ˈ t̪ˠ a h ə lʲ
tochailte	ˈ t̪ˠ o h ə lʲ tʲ ə
tóchar	ˈ t̪ˠ oː h ə ɾˠ
tochrais	ˈ t̪ˠ a h ɾˠ ə ʃ
tocht	ˈ t̪ˠ a x t̪ˠ
tochtmhar	ˈ t̪ˠ a x t̪ˠ vˠ ə ɾˠ
todhchaí	ˈ t̪ˠ au h iː
todhchaíoch	ˈ t̪ˠ au h iˑə h
todhchaíochtaí	ˈ t̪ˠ au h iˑə ɾˠ t̪ˠ iː
tofa	ˈ t̪ˠ o fˠ ə
tóg	ˈ t̪ˠ oː ɡ
Tóga	ˈ t̪ˠ oː ɡ ə
tógáil	ˈ t̪ˠ oː ɡ a lʲ
tógála	ˈ t̪ˠ oː ɡ aː l̻ˠ ə
tógálach	ˈ t̪ˠ oː ɡ a l̻ˠ a h
tógálaí	ˈ t̪ˠ oː ɡ a l̻ˠ iː
tógán	ˈ t̪ˠ oː ɡ aː n̻ˠ
togh	ˈ t̪ˠ au
togha	ˈ t̪ˠ au
toghadh	ˈ t̪ˠ au ə
toghcháin	ˈ t̪ˠ au h a n̻ʲ
toghchán	ˈ t̪ˠ au h a n̻ˠ
toghchánach	ˈ t̪ˠ au ˈ x aː n̻ˠ ə h
toghthach	ˈ t̪ˠ au ˈ h a h
toghthóirí	ˈ t̪ˠ au ˈ h oː ɾʲ iː
togra	ˈ t̪ˠ o ɡ ɾˠ ə
tógtha	ˈ t̪ˠ oː k ə
Tóibít	ˈ t̪ˠ oː bʲ iː tʲ
toil	ˈ t̪ˠ o lʲ
tOileán	ˈ t̪ˠ o lʲ aː n̻ˠ
toiligh	ˈ t̪ˠ o lʲ iː
toilleadh	ˈ t̪ˠ o l̻ʲ uː
toilteanach	ˈ t̪ˠ o l̻ʲ tʲ ə n̻ˠ a h
tóin	ˈ t̪ˠ oː nʲ
toinne	ˈ t̪ˠ o n̻ʲ ə
tóir	ˈ t̪ˠ oː ɾʲ
toircheas	ˈ t̪ˠ o ɾʲ ə hʲ ə sˠ
toirchis	ˈ t̪ˠ o ɾʲ ə ç ə ʃ
tOireachtas	ˈ t̪ˠ o ɾʲ ə ɾˠ t̪ˠ ə sˠ
toirmeasc	ˈ t̪ˠ o ɾʲ ə mʲ ə sˠ k
toirmisc	ˈ t̪ˠ o ɾʲ ə mʲ ə ʃ c
toirmiscthe	ˈ t̪ˠ o ɾʲ ə mʲ ə ʃ c h ə
toirpéad	ˈ t̪ˠ o ɾʲ pʲ e d̪ˠ
toirt	ˈ t̪ˠ a ɾˠ tʲ
toirtéiseach	ˈ t̪ˠ a ɾˠ tʲ e ʃ a h
toirtiúil	ˈ t̪ˠ a ɾˠ tʲ u lʲ
toisc	ˈ t̪ˠ o ʃ c
toise	ˈ t̪ˠ o ʃ ə
toisigh	ˈ t̪ˠ o ʃ ə
toit	ˈ t̪ˠ o tʲ
toitín	ˈ t̪ˠ o tʲ i nʲ
t-ól	ˈ t̪ˠ oː l̻ˠ
tolg	ˈ t̪ˠ o l̻ˠ ə ɡ
tolglann	ˈ t̪ˠ o l̻ˠ ə ɡ l̻ˠ ə n̻ˠ
tolgtha	ˈ t̪ˠ o l̻ˠ ə ɡ h ə
toll	ˈ t̪ˠ o l̻ˠ
tom	ˈ t̪ˠ o mˠ
tomhais	ˈ t̪ˠ oː ʃ
tomhaiste	ˈ t̪ˠ oː ʃ tʲ ə
tomhaltóir	ˈ t̪ˠ oː l̻ˠ t̪ˠ o ɾʲ
tomhas	ˈ t̪ˠ oː sˠ
ton	ˈ t̪ˠ o n̻ˠ
Tonga	ˈ t̪ˠ o ŋ ə
tonn	ˈ t̪ˠ o n̻ˠ
tonnchlár	ˈ t̪ˠ o n̻ˠ ə x l̻ˠ aː ɾˠ
tor	ˈ t̪ˠ a ɾˠ
toradh	ˈ t̪ˠ a ɾˠ uː
tóraí	ˈ t̪ˠ oː ɾˠ iː
tóraigh	ˈ t̪ˠ oː ɾˠ iː
tóraíocht	ˈ t̪ˠ oː ɾˠ iː a x t̪ˠ
torann	ˈ t̪ˠ a ɾˠ ə n̻ˠ
torannach	ˈ t̪ˠ a ɾˠ ə n̻ˠ a h
torc	ˈ t̪ˠ a ɾˠ k
tormáil	ˈ t̪ˠ a ɾˠ ə mˠ a lʲ
tormán	ˈ t̪ˠ a ɾˠ mˠ a n̻ˠ
tórraigh	ˈ t̪ˠ oː ɾˠ iː
tórramh	ˈ t̪ˠ oː ɾˠ uː
torthaí	ˈ t̪ˠ oː ɾˠ h iː
torthúil	ˈ t̪ˠ a ɾˠ h u lʲ
tosach	ˈ t̪ˠ a sˠ a h
tosaí	ˈ t̪ˠ a sˠ iː
tosaigh	ˈ t̪ˠ o sˠ iː
tosaithe	ˈ t̪ˠ o sˠ ə h ə
tosaitheoir	ˈ t̪ˠ a sˠ i hʲ o ɾʲ
tosca	ˈ t̪ˠ o sˠ k ə
tost	ˈ t̪ˠ a sˠ t̪ˠ
tostach	ˈ t̪ˠ a sˠ t̪ˠ a h
tóstáil	ˈ t̪ˠ oː sˠ t̪ˠ a lʲ
tóstal	ˈ t̪ˠ oː sˠ t̪ˠ ə l̻ˠ
tosú	ˈ t̪ˠ a sˠ uː
trá	ˈ t̪ˠ ɾˠ aː
trácht	ˈ t̪ˠ ɾˠ aː x t̪ˠ
tráchta	ˈ t̪ˠ ɾˠ a ɾˠ t̪ˠ ə
tráchtaire	ˈ t̪ˠ ɾˠ aː ɾˠ t̪ˠ ə ɾʲ ə
tráchtaireacht	ˈ t̪ˠ ɾˠ aː ɾˠ t̪ˠ ə ɾʲ a x t̪ˠ
tráchtála	ˈ t̪ˠ ɾˠ aː ɾˠ t̪ˠ aː l̻ˠ ə
tráchtas	ˈ t̪ˠ ɾˠ aː ɾˠ t̪ˠ ə sˠ
trádáil	ˈ t̪ˠ ɾˠ aː d̪ˠ a lʲ
trádála	ˈ t̪ˠ ɾˠ aː d̪ˠ aː l̻ˠ ə
trádálaí	ˈ t̪ˠ ɾˠ aː d̪ˠ a l̻ˠ iː
trádghaotha	ˈ t̪ˠ ɾˠ aː d̪ˠ ɣ iː h ə
trádmharc	ˈ t̪ˠ ɾˠ aː d̪ˠ vˠ ə ɾˠ k
trádmharcáilte	ˈ t̪ˠ ɾˠ aː d̪ˠ vˠ ə ɾˠ k aː lʲ tʲ ə
trae	ˈ t̪ˠ ɾˠ eː
traein	ˈ t̪ˠ ɾˠ eː nʲ
traenach	ˈ t̪ˠ ɾˠ eː n̻ˠ ə h
traenáil	ˈ t̪ˠ ɾˠ eː n̻ˠ a lʲ
traenálaí	ˈ t̪ˠ ɾˠ eː n̻ˠ a l̻ˠ iː
tragóid	ˈ t̪ˠ ɾˠ a ɡ o dʲ
tragóideach	ˈ t̪ˠ ɾˠ a ɡ o dʲ a h
traic	ˈ t̪ˠ ɾˠ a c
traiceáil	ˈ t̪ˠ ɾˠ a c aː lʲ
tráidire	ˈ t̪ˠ ɾˠ aː dʲ ə ɾʲ ə
traidisiún	ˈ t̪ˠ ɾˠ a dʲ i ʃ u n̻ˠ
traidisiúnta	ˈ t̪ˠ ɾˠ a dʲ i ʃ u n̻ˠ t̪ˠ ə
traigéide	ˈ t̪ˠ ɾˠ a ɟ e dʲ ə
traigéideach	ˈ t̪ˠ ɾˠ a ɟ eː dʲ ə h
tráigh	ˈ t̪ˠ ɾˠ aː j
Traíoch	ˈ t̪ˠ ɾˠ iː h
tráite	ˈ t̪ˠ ɾˠ aː tʲ ə
tráithnín	ˈ t̪ˠ ɾˠ aː hʲ nʲ i nʲ
tralaí	ˈ t̪ˠ ɾˠ o l̻ˠ iː
tram	ˈ t̪ˠ ɾˠ a mˠ
tranglam	ˈ t̪ˠ ɾˠ a ŋ l̻ˠ ə mˠ
traoch	ˈ t̪ˠ ɾˠ iː h
traochta	ˈ t̪ˠ ɾˠ iː ɾˠ t̪ˠ ə
traoith	ˈ t̪ˠ ɾˠ iː
Trapach	ˈ t̪ˠ ɾˠ a pˠ a h
traschuir	ˈ t̪ˠ ɾˠ a sˠ ˈ x u ɾʲ
traschúirte	ˈ t̪ˠ ɾˠ a sˠ ˈ x uː ɾˠ tʲ ə
traschur	ˈ t̪ˠ ɾˠ a sˠ ˈ x u ɾˠ
trasdeic	ˈ t̪ˠ ɾˠ a sˠ ˈ dʲ e c
trasfhoirmigh	ˈ t̪ˠ ɾˠ a ˈ sˠ o ɾʲ ə mʲ iː
trasghearr	ˈ t̪ˠ ɾˠ a sˠ ˈ j aː ɾˠ
trasghearradh	ˈ t̪ˠ ɾˠ a sˠ ˈ j a ɾˠ uː
trasna	ˈ t̪ˠ ɾˠ a sˠ n̻ˠ ə
trasnaigh	ˈ t̪ˠ ɾˠ a sˠ n̻ˠ iː
trasnán	ˈ t̪ˠ ɾˠ a sˠ n̻ˠ a n̻ˠ
trastomhas	ˈ t̪ˠ ɾˠ a sˠ t̪ˠ oː sˠ
tráta	ˈ t̪ˠ ɾˠ aː t̪ˠ ə
trátaí	ˈ t̪ˠ ɾˠ aː t̪ˠ iː
tráth	ˈ t̪ˠ ɾˠ aː
tráthnóna	t̪ˠ ɾˠ a ˈ n̻ˠ oː n̻ˠ ə
tráthúil	ˈ t̪ˠ ɾˠ aː h u lʲ
tré	ˈ tʲ ɾʲ eː
treabh	ˈ tʲ ɾʲ au
treabhdóir	ˈ tʲ ɾʲ oː d̪ˠ o ɾʲ
treabhdóra	
tréach	ˈ tʲ ɾʲ eː h
tréad	ˈ tʲ ɾʲ eː d̪ˠ
tréadaí	ˈ tʲ ɾʲ eː d̪ˠ iː
treafa	ˈ tʲ ɾʲ a fˠ ə
trealamh	ˈ tʲ ɾʲ o l̻ˠ uː
treallchogaí	ˈ tʲ ɾʲ a l̻ˠ h ə ɡ iː
treallchogaíochta	ˈ tʲ ɾʲ a l̻ˠ h ə ɡ iˑə ɾˠ t̪ˠ ə
treallús	ˈ tʲ ɾʲ o l̻ˠ u sˠ
treallúsach	ˈ tʲ ɾʲ o l̻ˠ u sˠ a h
tréan	ˈ tʲ ɾʲ eː n̻ˠ
treas	ˈ tʲ ɾʲ a sˠ
treascair	ˈ tʲ ɾʲ a sˠ k ə ɾʲ
trédhearcach	ˈ tʲ ɾʲ eː j a ɾˠ k a h
tréidlia	ˈ tʲ ɾʲ eː dʲ lʲ ia
tréig	ˈ tʲ ɾʲ eː ɟ
tréigthe	ˈ tʲ ɾʲ eː ˈ i ɟ h ə
tréimhse	ˈ tʲ ɾʲ eː vʲ ʃ ə
tréimhseachán	ˈ tʲ ɾʲ eː vʲ ʃ a h a n̻ˠ
tréimhsiúil	ˈ tʲ ɾʲ eː vʲ ʃ u lʲ
treisigh	ˈ tʲ ɾʲ e ʃ iː
tréith	ˈ tʲ ɾʲ eː
tréitheach	ˈ tʲ ɾʲ eː hʲ a h
treo	ˈ tʲ ɾʲ oː
treocht	ˈ tʲ ɾʲ oː ɾˠ t̪ˠ
treochtáil	ˈ tʲ ɾʲ oː ɾˠ t̪ˠ aː lʲ
treoíocht	ˈ tʲ ɾʲ oː iˑə ɾˠ t̪ˠ
treoir	ˈ tʲ ɾʲ oː ɾʲ
treoircheist	ˈ tʲ ɾʲ oː ɾʲ ç ə ʃ tʲ
treoirleabhar	ˈ tʲ ɾʲ oː ɾʲ lʲ ə ɾˠ
treoirshnáthaid	ˈ tʲ ɾʲ oː ɾˠ n̻̊ˠ aː h ə dʲ
treoluas	ˈ tʲ ɾʲ oː l̻ˠ uˑə sˠ
treorach	ˈ tʲ ɾʲ oː ɾˠ a h
treoracha	ˈ tʲ ɾʲ oː ɾˠ ə h ə
treoraí	ˈ tʲ ɾʲ oː ɾˠ iː
treoraigh	ˈ tʲ ɾʲ oː ɾˠ iː
treoráil	ˈ tʲ ɾʲ oː ɾˠ aː lʲ
treorú	ˈ tʲ ɾʲ oː ɾˠ uː
tréscaoilteach	ˈ tʲ ɾʲ eː sˠ k i l̻ʲ tʲ a h
tréshoilseach	ˈ tʲ ɾʲ eː h o l̻ʲ ʃ a h
trí	ˈ tʲ ɾʲ iː
triail	ˈ tʲ ɾʲ ia lʲ
trialach	ˈ tʲ ɾʲ ia l̻ˠ a h
trian	ˈ tʲ ɾʲ ia n̻ˠ
triantán	ˈ tʲ ɾʲ ia n̻ˠ t̪ˠ a n̻ˠ
tríd	ˈ tʲ ɾʲ iː dʲ
trídéagú	ˈ tʲ ɾʲ iː ˈ dʲ eː ɡ uː
trína	ˈ tʲ ɾʲ iː n̻ˠ ə
trinsí	ˈ tʲ ɾʲ i nʲ ʃ iː
trinsiúr	ˈ tʲ ɾʲ i nʲ ʃ uː ɾˠ
trioblóid	ˈ tʲ ɾʲ i bˠ l̻ˠ o dʲ
trioblóidí	
Trioblóidí	
tríocha	ˈ tʲ ɾʲ iː h ə
tríochadú	ˈ tʲ ɾʲ iː h ə d̪ˠ uː
tríochaidí	ˈ tʲ ɾʲ iː ˈ o h ə dʲ iː
