* 'dh eadh: dhea
* bolognaise: bolognese
* bosga: bosca
* bosgaí: boscaí
* bpaisnéirí: bpaisinéirí
* bpoibilidheacht: bpoiblíocht
* bpríomh-stiúrthóir: bpríomhstiúrthóir
* bprísún: bpríosún
* bpúint: bpuint
* bpúnc: bponc
* bpúnt: bpunt
* braithtear: braitear
* breagh: breá
* breaghtha: breátha
* breaghthacht: breáthacht
* breithniughadh: breathnú
* breoidhte: breoite
* breágh: breá
* breóite: breoite
* breóiteacht: breoiteacht
* breóiteachta: breoiteachta
* brigh: brí
* brisean: briseann
* brothail: brothaill
* brothal: brothall
* brothalach: brothallach
* bruighean: bruíon
* bréagnughadh: bréagnú
* brígh: brí
* bríghe: brí
* bríoghmhar: bríomhar
* brúighte: brúite
* brúithte: brúite
* brúth: brú
* buadh: bua
* buaidheartha: buartha
* buailteóra: buailteora
* budh: ba
* buideul: buidéal
* buidhchais: buíochais
* buidhchas: buíochas
* buidhe-bhreac: buíbhreac
* buidhe: buí
* buidheach: buíoch
* buidheachas: buíochas
* buidhean: buíon
* buidhne: buíne
* builg: boilg
* buird: boird
* bullabáisín: bulla báisín
* bulóige: bollóige
* bádh: bá
* báidh: bá
* báidheamhail: báúil
* báithte: báite
* bár: barr
* bárr: barr
* béidh: beidh
* béidir: b'fhéidir
* béimíd: beimid
* bím-se: bímse
* bínn: binn
* bíod: bíodh
* bíon: bíonn
* bórd: bord
* búird: boird
* búirth: búir
* búirtheach: búireach
* búntáiste: buntáiste
* b’ fhéidir: b’fhéidir
* b’ éigean: b’éigean
* b’aoirde: b’airde
* cabhrughadh: cabhrú
* cadé: cad é
* cadí: cad í
* cahin: cathain
* caibidiol: caibidil
* caidé: cad é
* cailleamhaint: cailliúint
* caillighe: caillí
* cainnt: caint
* cainteóirí: cainteoirí
* caithim-se: caithimse
* caithimís: caithimis
* caithte: caite
* caithtí: caití
* camastuíol: camastaíl
* cancarach: cancrach
* cannta: canta
* caolughadh: caolú
* caomhanta: caomhnaithe
* caoí: caoi
* capal: capall
* caraig: carraig
* caraige: carraige
* caráiste: carráiste
* casán: cosán
* catharach: cathrach
* cathughadh: cathú
* ce 'cu: cé acu
* ce ’cu: cé acu
* ceann-dána: ceanndána
* ceannaidhe: ceannaí
* ceannaigheadh: ceannaíodh
* ceannaighthe: ceannaithe
* ceannrach: ceanrach
* ceannuighthe: ceannaithe
* ceannuightheoirí: ceannaitheoirí
* ceapaim-se: ceapaimse
* ceapan: ceapann
* ceard-chomhairle: ceardchomhairle
* ceathair-déag: ceathair déag
* ceathramhadh: ceathrú
* ceathrughadh: ceathrú
* ceisteana: ceisteanna
* ceistiuchán: ceistiúchán
* ceud: céad
* ceudna: céanna
* ceó: ceo
* ceóil: ceoil
* ceól: ceol
* ceólmhar: ceolmhar
* ceólmhara: ceolmhara
* ceólta: ceolta
* chaillean: chailleann
* chaithean: chaitheann
* chaithte: chaite
* chaoíne: chaoine
* chapal: chapall
* charaig: charraig
* chathughadh: chathú
* cheann-sa: cheannsa
* cheannrach: cheanrach
* cheannuigh: cheannaigh
* cheannóchaidh: cheannóidh
* cheapaim-se: cheapaimse
* cheapan: cheapann
* cheard-chomhairle: cheardchomhairle
* cheardaidhe: cheardaí
* cheathramhadh: cheathrú
* cheilg: chealg
* cheist-se: cheistse
* cheud: chéad
* cheudna: chéanna
* cheó: cheo
* cheóil: cheoil
* cheól: cheol
* chinneamhaint: chinniúint
* chiondúireacht: chionmhaireacht
* chionúireacht: chionmhaireacht
* chipineach: chipíneach
* chiúnuigh: chiúnaigh
* chlaidh: chlaí
* chlaidhe: chlaí
* chlaidheamh: chlaíomh
* chlaochluigh: chlaochlaigh
* chlaoidh: chloí
* chleasaidheacht: chleasaíocht
* chloisteál: chloisteáil
* chlúduigh: chlúdaigh
* chnuc: chnoc
* chnuic: chnoic
* chocaíghe: chocaí
* chodla: chodladh
* choimeádan: choimeádann
* choinneall: choinneal
* choisg: choisc
* choisgeas: choisceas
* choisigheacht: choisíocht
* choláisde: choláiste
* chomhairleóchainn: chomhairleoinn
* chomhnaidhe: chónaí
* chomhnuidh: chónaigh
* chomhrádh: chomhrá
* chompóirdeach: chompordach
* chompórdach: chompordach
* chomrádaidhe: chomrádaí
* chonacadar: chonaiceadar
* chongnamh: chúnamh
* chongáil: choinneáil
* chonnaic: chonaic
* chorbhuais: chorrabhuais
* chorruigh: chorraigh
* chorán: chorrán
* chosg: chosc
* chothuigh: chothaigh
* choídhche: choíche
* chreideamhaint: chreidiúint
* chreideamhnacha: chreidiúnacha
* chreidimíd: chreidimid
* chroicean: chraiceann
* chroidhe-se: chroíse
* chroidhe: chroí
* chroídhe: chroí
* chruadh chás: chruachás
* chruadh-chás: chruachás
* chruadhtan: chruatan
* chruinniughadh: chruinniú
* chruthuigh: chruthaigh
* chráidhteacht: chráiteacht
* chríochnughadh: chríochnú
* chrúth: chrú
* chuaidh: chuaigh
* chuaird: chuairt
* chualacht: chuallacht
* chuarduigh: chuardaigh
* chuca-san: chucusan
* chughainn: chugainn
* chugham: chugam
* chuimhnigheadar: chuimhníodar
* chuimhnighim: chuimhním
* chuireadar-san: chuireadarsan
* chuirean: chuireann
* chuirfadh: chuirfeadh
* chuirp: choirp
* chuirptheach: choirpeach
* chuis: chais
* chum: chun
* chumasaíghe: chumasaí
* chuímhne: chuimhne
* chuímhnigh: chuimhnigh
* cháisg: cháisc
* chéadna: chéanna
* chéird: cheird
* chínn: chinn
* chómh: chomh
* chómhair: chomhair
* chómhaireamh: chomhaireamh
* chómhairimh: chomhairimh
* chómhairle: chomhairle
* chómharsa: chomharsa
* chómhartha: chomhartha
* chómhgar: chóngar
* chómhgarach: chóngarach
* chómhla: chomhla
* chómhlíonadh: chomhlíonadh
* chómhnuighe: chónaí
* chómnuighe: chónaí
* chúgaibh: chugaibh
* chúgainn: chugainn
* chúgam: chugam
* chúgat: chugat
* chúghaibh: chugaibh
* chúghainn: chugainn
* chúgham-sa: chugamsa
* chúgham: chugam
* chúghat: chugat
* chúichi: chuici
* chúici: chuici
* chúil-fhéith: chúiléith
* chúntanós: chuntanós
* chúntas: chuntas
* ciacu: cé acu
* cinnsealacht: cinsealacht
* ciondúireacht: cionmhaireacht
* cionúireacht: cionmhaireacht
* ciúineas: ciúnas
* claidh: claí
* claidhe: claí
* claidheamh: claíomh
* cleasaidheacht: cleasaíocht
* cloinne: clainne
* cláirsighe: cláirsí
* cló-bhuailte: clóbhuailte
* clúthmhar: cluthar
* cnuc: cnoc
* cnuic: cnoic
* codla: codladh
* coigcríoch: coigríoch
* coingheallacha: coinníollacha
* coinneall: coinneal
* coitchianta: coitianta
* coiuneall: coinneal
* coláisde: coláiste
* comh-bhinnis: comhbhinnis
* comhnuidh: cónaigh
* comhrádh: comhrá
* compóirdeach: compordach
* compórd: compord
* compórdach: compordach
* congnamh: cúnamh
* conus: conas
* corruighe: corraí
* coruighe: coraí
* cos-ar-bolg: cos ar bolg
* cosdais: costais
* cosg: cosc
* craínn: crainn
* creideamhnach: creidiúnach
* crith-eagla: critheagla
* croicean: craiceann
* croidhe-se: croíse
* croidhe: croí
* croídhe: croí
